iter	Passed	Remaining
0	256	128074
1	362	90153
2	458	75957
3	568	70468
4	660	65354
5	772	63567
6	869	61203
7	968	59579
8	1114	60806
9	1247	61139
10	1340	59576
11	1434	58330
12	1539	57657
13	1637	56850
14	1736	56162
15	1834	55478
16	1930	54840
17	2026	54257
18	2141	54224
19	2270	54490
20	2370	54062
21	2462	53493
22	2565	53203
23	2683	53222
24	2809	53383
25	2928	53380
26	3051	53462
27	3227	54405
28	3350	54421
29	3482	54566
30	3610	54623
31	3728	54535
32	3823	54102
33	3922	53759
34	4021	53426
35	4137	53325
36	4246	53139
37	4344	52818
38	4468	52823
39	4569	52549
40	4667	52251
41	4771	52026
42	4874	51801
43	4973	51544
44	5071	51274
45	5173	51059
46	5266	50755
47	5376	50631
48	5477	50411
49	5588	50296
50	5689	50092
51	5786	49849
52	5878	49577
53	5982	49407
54	6076	49167
55	6167	48899
56	6263	48679
57	6377	48597
58	6483	48462
59	6584	48284
60	6677	48054
61	6777	47882
62	6870	47660
63	6979	47548
64	7073	47335
65	7177	47199
66	7289	47112
67	7383	46904
68	7478	46711
69	7571	46509
70	7669	46339
71	7765	46161
72	7870	46036
73	7971	45892
74	8078	45779
75	8178	45625
76	8279	45480
77	8374	45306
78	8474	45159
79	8576	45025
80	8681	44908
81	8779	44755
82	8876	44596
83	8975	44451
84	9084	44353
85	9185	44219
86	9290	44103
87	9387	43950
88	9485	43801
89	9583	43657
90	9687	43541
91	9789	43414
92	9891	43286
93	9992	43161
94	10101	43065
95	10204	42945
96	10305	42814
97	10402	42669
98	10500	42531
99	10604	42417
100	10710	42310
101	10809	42177
102	10908	42044
103	11010	41925
104	11110	41798
105	11210	41668
106	11308	41534
107	11411	41420
108	11513	41300
109	11614	41178
110	11709	41037
111	11808	40909
112	11944	40907
113	12147	41130
114	12377	41438
115	12663	41921
116	12820	41967
117	12949	41920
118	13141	42074
119	13293	42096
120	13411	42007
121	13524	41903
122	13637	41799
123	13809	41872
124	13971	41913
125	14076	41781
126	14219	41762
127	14375	41779
128	14490	41673
129	14736	41941
130	14971	42171
131	15085	42057
132	15198	41939
133	15303	41800
134	15416	41682
135	15520	41539
136	15619	41385
137	15746	41306
138	15946	41415
139	16269	41835
140	16402	41762
141	16517	41643
142	16629	41514
143	16730	41361
144	16839	41226
145	16943	41082
146	17059	40966
147	17163	40821
148	17274	40693
149	17380	40553
150	17485	40414
151	17597	40288
152	17724	40197
153	17849	40103
154	17954	39962
155	18062	39829
156	18167	39691
157	18274	39555
158	18384	39428
159	18490	39292
160	18603	39171
161	18708	39034
162	18837	38945
163	18939	38803
164	19039	38655
165	19152	38536
166	19266	38417
167	19372	38283
168	19473	38139
169	19579	38008
170	19686	37875
171	19803	37763
172	19913	37639
173	20019	37508
174	20171	37462
175	20278	37331
176	20379	37189
177	20498	37082
178	20626	36989
179	20854	37073
180	20990	36994
181	21098	36863
182	21228	36773
183	21383	36724
184	21530	36659
185	21643	36538
186	21744	36396
187	21898	36341
188	21993	36189
189	22085	36033
190	22219	35947
191	22374	35892
192	22506	35800
193	22645	35719
194	22792	35649
195	22911	35536
196	23056	35462
